7E0346,WRAM7E_StageClearSpecialIndex,
7E0348,WRAM7E_PuzzleClearIndex,
7E034C,WRAM7E_PuzzleSecretFlag,
7E034E,WRAM7E_PuzzleIndex,
7E0350,WRAM7E_PuzzleStageIndex,
7E0352,WRAM7E_RoundClearIndicator,
7E0358,WRAM7E_CurrentlyPaused,
7E035A,WRAM7E_ShouldPause,
7E035C,WRAM7E_PauseState,
7E037C,WRAM7E_IngameFrames,
7E0380,WRAM7E_AdvanceIngameTimer,
7E04D2,WRAM7E_ToppedOut,
7E04D4,WRAM7E_OpponentToppedOut,
7E1986,WRAM7E_NewMusicEvent,If non-zero, will be sent to APU and then cleared
7E1988,WRAM7E_NewSoundEvent,If non-zero, will be sent to APU and then cleared
7E1A6E,WRAM7E_MenuProcedure,
7E1A80,WRAM7E_VsDifficulty,
7E1D00,WRAM7E_OAMBuffer,
7E1F20,WRAM7E_OAMAppendAddr,
7E38FE,WRAM_ModeIndex,
7E3900,WRAM_AntipiracyFlag,If non-zero, triggers anti-piracy screen
7E5305,WRAM_BowserDamage,
7E531F,WRAM_BowserHPIndex,
7E6389,WRAM_AssignedMoveCount,
7E6612,WRAM_TitleScrnWait,Number of frames before the title screen does something
7E6614,WRAM_TitleScrnSeqPtr,Pointer to a bytecode table the title screen uses
7E9446,WRAM_EndModeIndicator,
7E944E,WRAM_VsContinueCount,
7E952A,WRAM_1POptionIndex,
7E952E,WRAM_StageClearOptionIndex,
7E9530,WRAM_PuzzleOptionIndex,
7E953C,WRAM_VsOptionIndex,
7E95D2,WRAM_MenuPadRepeat,
7E95D4,WRAM_MenuPadPress,
7E95D6,WRAM_MenuPadStates,
7E95EC,WRAM_ConfineMenuCursor,
7E9600,WRAM_Password,
7E961A,WRAM_PuzzleClearedLevels,
7E961E,WRAM_MenuContinueValue,
7E96DF,WRAM_BG2HSubpixel,
7E96E1,WRAM_BG2VSubpixel,
7E96E7,WRAM_MenuCursorX,
7E96F5,WRAM_MenuCursorY,
7ED1E0,WRAM_VsMenuSubstate,
7ED1E2,WRAM_VsStageNumber,
7ED1E4,WRAM_VsProcedureFlags,
7ED1E6,WRAM_VsLakituState,
7ED1E7,WRAM_VsBumptyState,
7ED1E8,WRAM_VsPoochyState,
7ED1E9,WRAM_VsWigglerState,
7ED1EA,WRAM_VsFroggyState,
7ED1EB,WRAM_VsBlarggState,
7ED1EC,WRAM_VsLungeFishState,
7ED1ED,WRAM_VsRaphaelState,
7ED216,WRAM_VsCharSelectX,
7ED218,WRAM_VsCharSelectY,
7ED21A,WRAM_VsCharacterIndex,
800096,WRAM80_TaskPointer,
8000A3,WRAM80_FinishedLogic,
8000A5,WRAM80_WaitForVBlank,
8000A7,WRAM80_GameFrames,
8000AB,WRAM80_GameMinutes,
8000AD,WRAM80_GameSeconds,
8000AF,WRAM80_PadRepeatDelay,
8000B3,WRAM80_Pad1State,
8000B5,WRAM80_Pad2State,
8000B7,WRAM80_Pad1Press,
8000B9,WRAM80_Pad2Press,
8000BB,WRAM80_Pad1Repeat,
8000BD,WRAM80_Pad2Repeat,
8000BF,WRAM80_Pad1StateAlt,
8000C5,WRAM80_Pad1RepeatFramesLeft,
8000C7,WRAM80_Pad2StateAlt,
8000CD,WRAM80_Pad2RepeatFramesLeft,
8001B2,WRAM80_PendingTransfers,
8001B6,WRAM80_CurrentBrightness,
8001CB,WRAM80_BG1_HScroll,
8001CD,WRAM80_BG1_VScroll,
8001CF,WRAM80_BG2_HScroll,
8001D1,WRAM80_BG2_VScroll,
8001D3,WRAM80_BG3_HScroll,
8001D5,WRAM80_BG3_VScroll,
8001F1,WRAM80_HDMAEnableAlt,
80021E,WRAM80_HDMAEnable,
8002A0,WRAM80_GameState,
8002A2,WRAM80_GameSubstate,
8002A8,WRAM80_PlayersIndicator,
8002BA,WRAM80_CharacterIndex1,
8002BC,WRAM80_CharacterIndex2,
8002C2,WRAM80_Score_Lo,
8002C4,WRAM80_Score_Hi,
8002C6,WRAM80_CheckpointScore_Lo,
8002C8,WRAM80_CheckpointScore_Hi,
800332,WRAM80_IngameHours,
800334,WRAM80_IngameMinutes,
800336,WRAM80_IngameSeconds,
80033C,WRAM80_StageClearRoundIndex,
80033E,WRAM80_StageClearStageIndex,
800358,WRAM80_CurrentlyPaused,
80035A,WRAM80_ShouldPause,
80035C,WRAM80_PauseState,
80037C,WRAM80_IngameFrames,
800380,WRAM80_AdvanceIngameTimer,
801986,WRAM80_NewMusicEvent,
801988,WRAM80_NewSoundEvent,
801A80,WRAM80_VsDifficulty,
